SectionID,SlotIndex,SubjectCode,TeacherID
SEC01,0,8,44
SEC01,1,7,44
SEC01,2,7,38
SEC01,3,1,31
SEC01,4,9,39
SEC01,5,1,40
SEC01,6,0,36
SEC01,7,4,30
SEC01,8,1,42
SEC01,9,2,29
SEC01,10,9,28
SEC01,11,6,40
SEC01,12,8,36
SEC01,13,4,41
SEC01,14,1,29
SEC01,15,9,40
SEC01,16,0,28
SEC01,17,8,34
SEC01,18,8,30
SEC01,19,9,43
SEC01,20,8,43
SEC01,21,2,25
SEC01,22,6,32
SEC01,23,4,29
SEC01,24,4,27
SEC01,25,6,26
SEC01,26,6,35
SEC01,27,2,33
SEC01,28,2,2
SEC01,29,4,39
SEC01,30,2,44
SEC01,31,9,32
SEC01,32,4,37
SEC01,33,11,38
SEC01,34,9,26
SEC01,35,6,6
SEC01,36,11,25
SEC01,37,9,27
SEC01,38,7,35
SEC01,39,2,32
SEC01,40,8,26
SEC01,41,4,4
SEC01,42,4,43
SEC01,43,1,36
SEC01,44,11,33
SEC01,45,4,34
SEC01,46,9,34
SEC01,47,11,37
SEC01,48,9,25
SEC01,49,0,42
SEC11,0,8,41
SEC11,1,1,1
SEC11,2,4,37
SEC11,3,7,38
SEC11,4,4,43
SEC11,5,6,32
SEC11,6,0,27
SEC11,7,9,40
SEC11,8,11,33
SEC11,9,9,25
SEC11,10,1,42
SEC11,11,8,30
SEC11,12,8,33
SEC11,13,2,29
SEC11,14,8,34
SEC11,15,2,33
SEC11,16,0,42
SEC11,17,4,4
SEC11,18,7,44
SEC11,19,9,34
SEC11,20,11,22
SEC11,21,7,35
SEC11,22,8,36
SEC11,23,1,36
SEC11,24,11,38
SEC11,25,9,28
SEC11,26,9,39
SEC11,27,4,34
SEC11,28,9,32
SEC11,29,2,2
SEC11,30,6,37
SEC11,31,1,40
SEC11,32,0,0
SEC11,33,8,21
SEC11,34,6,41
SEC11,35,6,35
SEC11,36,1,35
SEC11,37,2,44
SEC11,38,7,31
SEC11,39,8,31
SEC11,40,9,14
SEC11,41,9,26
SEC11,42,2,39
SEC11,43,7,24
SEC11,44,11,30
SEC11,45,9,27
SEC11,46,0,28
SEC11,47,4,18
SEC11,48,1,31
SEC11,49,11,37
SEC12,0,1,42
SEC12,1,11,22
SEC12,2,1,36
SEC12,3,8,34
SEC12,4,7,24
SEC12,5,4,41
SEC12,6,0,42
SEC12,7,4,34
SEC12,8,7,35
SEC12,9,2,39
SEC12,10,4,39
SEC12,11,9,39
SEC12,12,6,41
SEC12,13,0,0
SEC12,14,9,27
SEC12,15,6,6
SEC12,16,4,29
SEC12,17,11,25
SEC12,18,0,36
SEC12,19,8,21
SEC12,20,9,34
SEC12,21,2,33
SEC12,22,6,28
SEC12,23,8,30
SEC12,24,7,31
SEC12,25,8,44
SEC12,26,8,31
SEC12,27,2,32
SEC12,28,4,43
SEC12,29,4,30
SEC12,30,1,35
SEC12,31,8,33
SEC12,32,7,20
SEC12,33,9,32
SEC12,34,6,35
SEC12,35,2,29
SEC12,36,8,42
SEC12,37,4,4
SEC12,38,0,28
SEC12,39,11,38
SEC12,40,9,25
SEC12,41,1,40
SEC12,42,0,38
SEC12,43,7,44
SEC12,44,9,40
SEC12,45,7,38
SEC12,46,11,33
SEC12,47,1,31
SEC12,48,0,27
SEC12,49,6,32
SEC14,0,1,29
SEC14,1,4,18
SEC14,2,6,35
SEC14,3,2,44
SEC14,4,8,42
SEC14,5,4,39
SEC14,6,6,40
SEC14,7,7,38
SEC14,8,0,28
SEC14,9,9,28
SEC14,10,0,38
SEC14,11,11,25
SEC14,12,9,14
SEC14,13,9,34
SEC14,14,2,33
SEC14,15,8,43
SEC14,16,4,4
SEC14,17,6,6
SEC14,18,7,24
SEC14,19,11,33
SEC14,20,2,39
SEC14,21,7,44
SEC14,22,0,0
SEC14,23,6,26
SEC14,24,11,22
SEC14,25,9,43
SEC14,26,11,37
SEC14,27,7,20
SEC14,28,9,40
SEC14,29,4,34
SEC14,30,2,25
SEC14,31,1,1
SEC14,32,2,32
SEC14,33,1,31
SEC14,34,8,36
SEC14,35,6,41
SEC14,36,4,27
SEC14,37,4,41
SEC14,38,4,43
SEC14,39,1,42
SEC14,40,4,30
SEC14,41,8,21
SEC14,42,7,31
SEC14,43,8,31
SEC14,44,2,2
SEC14,45,6,28
SEC14,46,2,29
SEC14,47,8,41
SEC14,48,7,35
SEC14,49,11,30
SEC16,0,0,27
SEC16,1,6,41
SEC16,2,4,39
SEC16,3,6,26
SEC16,4,1,40
SEC16,5,0,36
SEC16,6,6,37
SEC16,7,4,37
SEC16,8,1,1
SEC16,9,4,30
SEC16,10,7,44
SEC16,11,9,28
SEC16,12,11,37
SEC16,13,1,31
SEC16,14,11,22
SEC16,15,7,24
SEC16,16,9,25
SEC16,17,2,32
SEC16,18,7,35
SEC16,19,8,26
SEC16,20,2,2
SEC16,21,8,43
SEC16,22,8,44
SEC16,23,8,34
SEC16,24,0,28
SEC16,25,8,41
SEC16,26,7,20
SEC16,27,8,36
SEC16,28,6,6
SEC16,29,8,31
SEC16,30,11,30
SEC16,31,1,36
SEC16,32,9,26
SEC16,33,4,41
SEC16,34,11,33
SEC16,35,8,33
SEC16,36,9,32
SEC16,37,11,38
SEC16,38,8,21
SEC16,39,6,40
SEC16,40,9,27
SEC16,41,1,35
SEC16,42,11,25
SEC16,43,6,28
SEC16,44,0,0
SEC16,45,8,30
SEC16,46,0,38
SEC16,47,4,4
SEC16,48,1,29
SEC16,49,4,27
SEC28,0,2,33
SEC28,1,8,42
SEC28,2,9,34
SEC28,3,6,41
SEC28,4,2,2
SEC28,5,2,29
SEC28,6,0,28
SEC28,7,6,32
SEC28,8,8,44
SEC28,9,4,43
SEC28,10,8,36
SEC28,11,11,37
SEC28,12,1,35
SEC28,13,9,27
SEC28,14,4,39
SEC28,15,1,42
SEC28,16,1,40
SEC28,17,6,28
SEC28,18,0,42
SEC28,19,9,32
